MATCH;A;THETA;D
1;4.8551254;9.6912346;2.0498652
1;1.1156648;1.3835118;0.75643915
1;3.2204916;0.90651768;0.34559083
1;3.3433285;8.1640863;0.79269439
0;8.2511158;83.693245;2.6357770
1;0.63625216;45.833015;1.8874642
0;6.8753262;87.141411;2.4032638
0;6.7941189;60.635487;2.0004656
1;1.3435128;19.097198;0.81479615
0;6.6142201;18.945211;1.0250375
0;7.8275008;44.165092;1.3067155
0;7.2860498;4.6122518;1.3245823
0;4.9205780;26.806070;1.0319531
0;8.2425842;0.37860680;0.37989378
0;7.8214450;48.799305;1.3990983
0;7.9221673;11.273191;3.1262350
1;1.5395279;5.1284766;0.55407119
0;7.5327158;75.152184;1.3198289
0;7.8005619;53.964565;1.1593257
1;0.78121090;3.0982525;0.54930919
1;0.51391149;4.9012084;0.40881154
1;2.7957950;12.835326;0.82616115
1;0.80971318;3.9050670;1.2498469
1;0.79398441;5.9338641;1.0867018
1;1.4990546;7.3390856;0.78528965
0;6.9811358;55.624847;0.56297964
0;6.8499169;2.5811892;0.50531894
0;8.6303244;5.2118640;0.73108792
0;8.0001593;1.4656907;1.8812401
0;13.792634;21.913618;1.3443704
1;2.0582390;14.407452;1.9087220
0;11.899551;9.0276585;1.0252839
1;0.18460548;1.5488061;2.3092389
0;1.7303927;52.284134;4.0352836
1;4.2053356;2.7495434;1.4248883
1;7.1963716;5.9384871;0.53378308
0;6.4861321;9.8583078;2.3198819
0;17.114481;38.195530;0.66269743
1;1.8962609;8.2682343;0.53996068
1;2.2066894;26.032495;0.73837656
1;1.0218154;15.585104;0.37483034
1;1.1335939;8.9393263;0.34214845
1;0.27390739;4.8805933;0.60498518
1;1.0314986;0.98910129;0.76042640
0;5.1100864;22.442490;1.1014329
0;12.701150;2.7459023;0.97831959
1;1.2073973;2.2436485;1.0236158
0;7.1963367;44.868698;1.2456386
0;11.771912;2.2984254;0.93507278
0;15.515114;26.137218;1.5344288
1;0.98906332;5.0630121;1.2167614
1;2.1237605;0.10072792;1.0847294
0;5.6035981;70.392784;1.6838206
0;3.5249982;33.379868;0.73374456
0;18.898460;9.2821007;1.6393180
1;2.2310989;3.6013741;1.2747130
0;9.3661718;46.783024;1.4880327
0;6.5528340;30.449057;1.1498086
0;1.9006038;24.863283;1.5836402
1;2.5263481;9.0405817;2.0435236
1;2.6971064;11.479874;1.6789802
1;5.0204754;27.932486;1.9082549
1;0.55772132;7.2890759;1.3114796
0;2.6731503;24.023619;1.3748171
1;2.1802087;3.9213834;1.8423392
0;10.425363;5.9841247;1.1023856
1;3.5184109;8.5771399;2.5694339
0;6.8308768;41.046391;1.4067070
0;0.90840602;26.584242;2.9843752
0;5.8633480;2.8163772;2.4008827
0;7.8877993;2.5334201;2.8984389
1;2.0240855;0.97188014;2.2918866
1;3.0408180;16.614817;0.90365803
0;6.8315234;88.539696;0.61655557
0;6.5239005;50.520920;2.0030398
1;2.3288081;17.511122;1.3353740
1;2.2000761;18.829748;1.2953674
0;15.281873;29.539774;0.42065915
1;1.7554921;19.565849;0.62004906
0;9.0961781;38.029697;0.79524869
0;9.0779848;25.734577;3.6938205
1;0.15950483;6.6689229;0.44946584
1;0.36155540;9.9342718;0.65774322
0;13.151833;0.14379372;0.86167634
1;0.54142380;11.116540;1.8995439
0;5.3661318;81.720978;1.7882780
0;4.3955221;11.782395;0.72750157
0;1.8155417;2.1273506;3.4538002
0;8.9194927;43.414272;1.6653947
0;8.3442841;35.675961;0.83002967
1;1.1922948;2.0290210;2.1943667
1;3.6588638;18.789660;2.6535039
0;12.450292;24.370651;0.70455819
0;7.4232273;20.862265;1.8725504
0;5.3442783;41.304981;0.82655638
1;4.4271655;24.375126;1.5384936
0;0.18306090;32.505611;2.1633489
0;4.0785270;79.151001;0.68105632
1;0.22434096;1.4501990;1.0744716
0;6.9617152;0.25357139;11.882658
1;0.31815693;3.1645994;0.71898806
0;5.1987042;80.457787;1.9685348
1;2.6119397;15.358395;1.0823238
0;5.7147727;33.384956;3.3217216
0;3.5792048;30.299677;3.6402984
0;7.0584917;21.147482;0.76203084
0;8.7386942;22.031988;1.2063019
0;5.1043653;62.512791;1.6413585
0;5.3253660;69.972755;1.7478483
0;9.0018272;80.926498;2.2904143
1;3.7736640;7.1043019;0.54323161
1;4.7368927;11.963876;1.3902130
0;5.2574334;12.447442;0.49252057
0;11.547526;33.312019;0.79766637
0;7.9282794;24.118319;1.9077202
0;5.1262674;36.963360;0.58699256
0;7.2546268;78.033020;0.89688128
0;10.998606;63.809624;1.0874250
1;26.305634;3.0601830;1.9365249
1;15.005459;0.054344859;1.8924496
1;5.7745223;1.2074695;1.4677663
1;1.0276176;9.9317236;1.8622431
1;8.1852446;8.5054302;0.66860420
0;6.3190603;49.003902;0.92833197
0;17.740301;1.5221490;0.51454550
0;12.714067;12.332217;2.2751784
0;7.8267474;33.517956;1.6113350
0;7.6660509;50.173950;2.1134913
0;5.5957026;43.104649;1.8357215
0;8.9494858;61.673080;1.4334158
0;10.510175;1.4929190;1.0283051
0;1.8753582;19.350889;0.99440289
0;5.9197216;20.138351;1.1120597
0;7.7682776;80.277740;0.96036303
0;1.7697597;69.777008;1.1537626
0;7.4153838;89.741234;0.96810919
1;0.71861160;14.036108;0.65434504
0;7.9124632;31.691160;0.94978219
1;0.32908937;13.276393;0.59605110
1;1.0718323;7.9893579;0.81888151
1;3.9314811;2.6047103;0.48741949
1;1.7051163;6.1234741;0.57241946
1;2.1907787;8.0421276;0.83550227
1;4.2583027;0.15377192;1.6821319
1;0.93532383;7.2492275;0.64304978
0;5.5017023;38.095448;0.75260371
1;2.1127431;17.050703;1.1630850
1;2.5989614;12.030653;1.3867781
1;2.8688662;11.611934;1.2809197
0;7.6715994;22.720531;1.5436597
1;5.0339479;10.699848;1.4319729
0;7.7351379;34.153637;0.81607544
0;7.3822222;26.514709;0.94427335
0;7.3506579;32.640606;0.44150445
1;0.55988443;2.7272160;0.48808995
0;9.6012926;37.779175;0.68406755
1;0.33656144;1.8467535;0.67546266
1;2.6109178;6.5994210;0.33427572
1;6.8246894;2.0948732;2.4789832
1;3.5327225;24.598034;0.77024144
0;16.438974;79.387108;1.6026984
0;12.849634;71.995125;2.1554494
0;18.004686;84.529617;2.1290689
0;18.675003;2.8278494;0.43603584
0;8.7071981;12.989678;0.22814836
0;8.1120729;32.423313;1.6927912
1;1.9038647;11.157176;2.5684781
1;1.9468988;10.952914;2.1316817
1;3.4288797;7.1450357;1.7662115
0;5.0853128;3.2738070;2.7425842
1;2.0266211;4.3518405;5.0222392
1;0.34794027;14.703598;3.6458848
1;0.57015741;0.69562012;0.48435700
1;2.0895398;5.0305862;0.67884761
1;1.6565468;17.373486;4.0128040
1;0.54291785;20.320251;1.3781844
0;3.4476001;17.056908;0.65122443
0;2.6186774;35.846973;1.0042986
0;15.933959;0.97137409;1.0224502
1;3.9000075;11.140474;1.2068323
1;7.0971403;2.3903227;1.8333329
0;6.3765440;38.674515;2.0710559
1;2.5000405;2.4171140;1.5600455
1;4.6134024;8.7772694;1.0960135
1;2.5192740;22.167372;1.8875830
1;2.3347545;14.868465;1.6507958
0;6.3556008;64.005196;1.9960413
1;2.2909911;2.9941850;2.2628593
1;3.5974894;5.5347209;2.0007308
1;4.0853162;3.4529371;4.6287174
1;7.5439148;2.2169573;7.2049141
1;3.8275959;14.163366;0.51444072
1;3.9983552;0.30576628;1.5165482
1;4.8326740;4.4452829;2.1912708
1;5.8521438;0.61317873;3.2075729
1;7.3292603;0.32930768;7.0292459
0;7.0977931;12.735175;0.64665759
1;0.33193949;17.510761;0.58624107
1;3.5776174;4.2459049;1.0516845
0;12.064445;23.707893;3.1188018
